timestamp,heating_demand[kW],cooling_demand[kW],heating_setpoint,air_temperature,outdoor_temperature
2012-01-01 01:13:00 EST,+2.73863,+1.34587,+68,+68.1592,+15.8023
2012-01-01 01:14:00 EST,+2.73835,+1.34594,+68,+68.1332,+15.7881
2012-01-01 01:15:00 EST,+2.73808,+1.34601,+68,+68.1074,+15.7739
2012-01-01 01:16:00 EST,+2.7378,+1.34608,+68,+68.0817,+15.7596
2012-01-01 01:17:00 EST,+2.73752,+1.34615,+68,+68.0562,+15.7453
2012-01-01 01:18:00 EST,+2.73724,+1.34622,+68,+68.0307,+15.7309
2012-01-01 01:19:00 EST,+2.73696,+1.34629,+68,+68.0054,+15.7165
2012-01-01 01:20:00 EST,+2.73668,+1.34636,+68,+67.9802,+15.702
2012-01-01 01:21:00 EST,+2.7364,+1.34644,+68,+67.955,+15.6875
2012-01-01 01:22:00 EST,+2.73612,+1.34651,+68,+67.9299,+15.6729
2012-01-01 01:23:00 EST,+2.73583,+1.34658,+68,+67.9048,+15.6583
2012-01-01 01:24:00 EST,+2.73555,+1.34665,+68,+67.8798,+15.6436
2012-01-01 01:25:00 EST,+2.73526,+1.34672,+68,+67.8548,+15.6289
2012-01-01 01:26:00 EST,+2.73498,+1.3468,+68,+67.8299,+15.6141
2012-01-01 01:27:00 EST,+2.73469,+1.34687,+68,+67.8049,+15.5993
2012-01-01 01:28:00 EST,+2.7344,+1.34694,+68,+67.78,+15.5844
2012-01-01 01:29:00 EST,+2.73411,+1.34702,+68,+67.7551,+15.5695
2012-01-01 01:30:00 EST,+2.73382,+1.34709,+68,+67.7303,+15.5545
2012-01-01 01:31:00 EST,+2.73353,+1.34717,+68,+67.7054,+15.5395
2012-01-01 01:32:00 EST,+2.73324,+1.34724,+68,+67.6806,+15.5244
2012-01-01 01:33:00 EST,+2.73294,+1.34731,+68,+67.6557,+15.5093
2012-01-01 01:34:00 EST,+2.73265,+1.34739,+68,+67.6309,+15.4941
2012-01-01 01:35:00 EST,+2.73235,+1.34746,+68,+67.6061,+15.4789
2012-01-01 01:36:00 EST,+2.73206,+1.34754,+68,+67.5813,+15.4636
2012-01-01 01:37:00 EST,+2.73176,+1.34761,+68,+67.5565,+15.4483
2012-01-01 01:38:00 EST,+2.73146,+1.34769,+68,+67.5317,+15.4329
2012-01-01 01:39:00 EST,+2.73116,+1.34777,+68,+67.507,+15.4175
2012-01-01 01:40:00 EST,+2.73086,+1.34784,+68,+67.4822,+15.402
2012-01-01 01:41:00 EST,+2.73056,+1.34792,+68,+67.4574,+15.3865
2012-01-01 01:42:00 EST,+2.73026,+1.348,+68,+67.4327,+15.3709
2012-01-01 01:43:00 EST,+2.72996,+1.34807,+68,+67.4079,+15.3553
2012-01-01 01:44:00 EST,+2.72965,+1.34815,+68,+67.3832,+15.3396
2012-01-01 01:45:00 EST,+2.72935,+1.34823,+68,+67.3584,+15.3239
2012-01-01 01:46:00 EST,+2.72904,+1.3483,+68,+67.3337,+15.3081
2012-01-01 01:47:00 EST,+2.72874,+1.34838,+68,+67.309,+15.2923
2012-01-01 01:48:00 EST,+2.72843,+1.34846,+68,+67.2842,+15.2764
2012-01-01 01:49:00 EST,+2.72812,+1.34854,+68,+67.2595,+15.2605
2012-01-01 01:50:00 EST,+2.72781,+1.34862,+68,+67.2348,+15.2445
2012-01-01 01:51:00 EST,+2.7275,+1.3487,+68,+67.2101,+15.2285
